Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Search_JMeter,20,1091,812,2307,437.31,0.000%,3.58166,426.39,2.37,121906.2
TOTAL,20,1091,812,2307,437.31,0.000%,3.58166,426.39,2.37,121906.2
