Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Truy cap Trang Chu,250,134,42,934,148.10,20.000%,.29137,29.93,0.05,105184.2
TOTAL,250,134,42,934,148.10,20.000%,.29137,29.93,0.05,105184.2
